News Source,Link,AllSides Bias Rating,Community feedback
ABC News (Online),https://www.allsides.com/news-source/abc-news-media-bias,left-center,Community strongly agrees.
AlterNet,https://www.allsides.com/news-source/alternet-media-bias,left,Community absolutely agrees.
Associated Press,https://www.allsides.com/news-source/associated-press-media-bias,left,Community somewhat agrees.
Associated Press Fact Check,https://www.allsides.com/news-source/ap-fact-check-media-bias,left-center,Community somewhat disagrees.
Axios,https://www.allsides.com/news-source/axios,left-center,Community somewhat disagrees.
BBC News,https://www.allsides.com/news-source/bbc-news-media-bias,center,Community somewhat agrees.
Bloomberg,https://www.allsides.com/news-source/bloomberg-media-bias,left-center,Community somewhat disagrees.
Breitbart News,https://www.allsides.com/news-source/breitbart,right,Community absolutely agrees.
Business Insider,https://www.allsides.com/news-source/insider-media-bias,left-center,Community somewhat disagrees.
BuzzFeed News,https://www.allsides.com/news-source/buzzfeed-media-bias,left,Community strongly agrees.
CBS News (Online),https://www.allsides.com/news-source/cbs-news-media-bias,left-center,Community somewhat agrees.
Christian Science Monitor,https://www.allsides.com/news-source/christian-science-monitor,center,Community somewhat disagrees.
CNN Digital,https://www.allsides.com/news-source/cnn-media-bias,left-center,Community somewhat agrees.
Daily Beast,https://www.allsides.com/news-source/daily-beast-media-bias,left,Community absolutely agrees.
Daily Mail,https://www.allsides.com/news-source/daily-mail,right,Community agrees.
Democracy Now!,https://www.allsides.com/news-source/democracy-now,left,Community absolutely agrees.
Forbes,https://www.allsides.com/news-source/forbes,center,Community somewhat agrees.
Fox News (Opinion),https://www.allsides.com/news-source/fox-news-editorial-media-bias,right,Community absolutely agrees.
Fox News Digital,https://www.allsides.com/news-source/fox-news-media-bias,right,Community somewhat agrees.
HuffPost,https://www.allsides.com/news-source/huffpost-media-bias,left,Community agrees.
Mother Jones,https://www.allsides.com/news-source/mother-jones-bias,left,Community absolutely agrees.
MSNBC,https://www.allsides.com/news-source/msnbc,left,Community absolutely agrees.
National Review (News),https://www.allsides.com/news-source/national-review,right-center,Community strongly agrees.
National Review (Opinion),https://www.allsides.com/news-source/national-review-opinion-media-bias,right,Community agrees.
NBC News Digital,https://www.allsides.com/news-source/nbc-news-media-bias,left-center,Community somewhat agrees.
New York Post (News),https://www.allsides.com/news-source/new-york-post,right-center,Community agrees.
New York Times (News),https://www.allsides.com/news-source/new-york-times,left-center,Community somewhat disagrees.
New York Times (Opinion),https://www.allsides.com/news-source/new-york-times-opinion-media-bias,left,Community absolutely agrees.
Newsmax (News),https://www.allsides.com/news-source/newsmax,right,Community somewhat agrees.
Newsmax (Opinion),https://www.allsides.com/news-source/newsmax-opinion-media-bias,right,Community absolutely agrees.
NewsNation,https://www.allsides.com/news-source/newsnation-media-bias,center,Community somewhat agrees.
Newsweek,https://www.allsides.com/news-source/newsweek,center,Community disagrees.
NPR (Online News),https://www.allsides.com/news-source/npr-media-bias,left-center,Community somewhat disagrees.
NPR (Opinion),https://www.allsides.com/news-source/npr-editorial,left-center,Community somewhat disagrees.
Politico,https://www.allsides.com/news-source/politico-media-bias,left-center,Community somewhat disagrees.
Reason,https://www.allsides.com/news-source/reason,center,Community somewhat agrees.
Reuters,https://www.allsides.com/news-source/reuters,center,Community agrees.
Slate,https://www.allsides.com/news-source/slate,left,Community strongly agrees.
The American Spectator,https://www.allsides.com/news-source/american-spectator,right,Community strongly agrees.
The Atlantic,https://www.allsides.com/news-source/atlantic,left,Community agrees.
The Blaze,https://www.allsides.com/news-source/theblaze-bias,right,Community somewhat agrees.
The Daily Caller,https://www.allsides.com/news-source/daily-caller,right,Community strongly agrees.
The Daily Wire,https://www.allsides.com/news-source/daily-wire,right,Community strongly agrees.
The Economist,https://www.allsides.com/news-source/economist,left-center,Community disagrees.
The Epoch Times,https://www.allsides.com/news-source/epoch-times-media-bias,right-center,Community agrees.
The Federalist,https://www.allsides.com/news-source/federalist,right,Community strongly agrees.
The Guardian,https://www.allsides.com/news-source/guardian,left,Community agrees.
The Hill,https://www.allsides.com/news-source/hill-media-bias,center,Community somewhat disagrees.
The Intercept,https://www.allsides.com/news-source/intercept,left,Community strongly agrees.
The New Yorker,https://www.allsides.com/news-source/new-yorker,left,Community absolutely agrees.
